PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Jrue Holiday,BOS,15,15,458,78,18,34,52.9,4,4,100.0,41,52.6,37,47.4,11,14.1,5,6.4,2,2.6
Kristaps Porziņģis,BOS,12,12,350,15,1,7,14.3,4,4,100.0,7,46.7,6,40.0,0,0.0,0,0.0,2,13.3
Luke Kornet,BOS,20,20,327,3,2,2,100.0,0,0,0.0,4,133.3,1,33.3,0,0.0,0,0.0,0,0.0
Miles Norris,BOS,1,1,19,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Neemias Queta,BOS,16,16,211,3,0,1,0.0,0,0,0.0,0,0.0,1,33.3,1,33.3,1,33.3,0,0.0
Payton Pritchard,BOS,21,21,612,105,22,37,59.5,6,6,100.0,51,48.6,60,57.1,9,8.6,3,2.9,3,2.9
Sam Hauser,BOS,19,19,356,10,2,3,66.7,0,0,0.0,4,40.0,7,70.0,2,20.0,0,0.0,0,0.0
Torrey Craig,BOS,10,10,131,9,2,2,100.0,0,0,0.0,4,44.4,4,44.4,1,11.1,3,33.3,0,0.0
Xavier Tillman,BOS,7,7,31,3,0,1,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0
Brandon Miller,CHA,19,19,669,158,32,82,39.0,29,30,96.7,95,60.1,53,33.5,11,7.0,7,4.4,15,9.5
DaQuan Jeffries,CHA,38,38,839,88,22,53,41.5,6,8,75.0,52,59.1,23,26.1,5,5.7,6,6.8,4,4.5
Damion Baugh,CHA,14,14,341,92,14,43,32.6,2,2,100.0,30,32.6,40,43.5,10,10.9,7,7.6,1,1.1
Grant Williams,CHA,10,10,304,24,0,11,0.0,4,4,100.0,4,16.7,7,29.2,1,4.2,3,12.5,2,8.3
Isaiah Wong,CHA,18,18,244,94,18,46,39.1,15,18,83.3,52,55.3,30,31.9,3,3.2,9,9.6,9,9.6
Josh Green,CHA,51,51,1452,179,21,55,38.2,9,16,56.3,52,29.1,88,49.2,19,10.6,17,9.5,9,5.0
Josh Okogie,CHA,29,29,522,131,22,52,42.3,30,38,78.9,77,58.8,46,35.1,9,6.9,7,5.3,19,14.5
Jusuf Nurkić,CHA,33,33,656,30,7,18,38.9,5,8,62.5,19,63.3,5,16.7,2,6.7,3,10.0,4,13.3
KJ Simpson,CHA,33,33,778,211,42,113,37.2,19,20,95.0,105,49.8,76,36.0,17,8.1,10,4.7,11,5.2
LaMelo Ball,CHA,31,31,963,467,113,243,46.5,62,74,83.8,298,63.8,147,31.5,43,9.2,27,5.8,37,7.9
Marcus Garrett,CHA,3,3,61,20,7,13,53.8,0,0,0.0,14,70.0,6,30.0,3,15.0,1,5.0,0,0.0
Mark Williams,CHA,35,35,899,24,8,19,42.1,4,4,100.0,20,83.3,1,4.2,0,0.0,2,8.3,2,8.3
Miles Bridges,CHA,48,48,1505,583,155,337,46.0,79,90,87.8,406,69.6,149,25.6,28,4.8,40,6.9,45,7.7
Moussa Diabaté,CHA,56,56,956,33,16,21,76.2,3,4,75.0,35,106.1,3,9.1,0,0.0,5,15.2,2,6.1
Nick Smith Jr.,CHA,46,46,1058,287,58,135,43.0,21,22,95.5,138,48.1,126,43.9,23,8.0,14,4.9,11,3.8
Seth Curry,CHA,51,51,799,128,27,60,45.0,4,4,100.0,61,47.7,56,43.8,12,9.4,8,6.3,2,1.6
Taj Gibson,CHA,27,27,314,7,1,6,16.7,0,0,0.0,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0
Tidjane Salaün,CHA,48,48,1054,118,16,55,29.1,24,34,70.6,57,48.3,27,22.9,9,7.6,15,12.7,17,14.4
Tre Mann,CHA,7,7,171,90,16,40,40.0,6,6,100.0,39,43.3,40,44.4,9,10.0,5,5.6,3,3.3
Wendell Moore Jr.,CHA,25,25,371,56,8,23,34.8,7,8,87.5,23,41.1,26,46.4,3,5.4,1,1.8,4,7.1
Adama Sanogo,CHI,2,2,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ayo Dosunmu,CHI,29,29,856,211,41,68,60.3,11,14,78.6,96,45.5,117,55.5,22,10.4,13,6.2,7,3.3
Chris Duarte,CHI,13,13,60,15,6,8,75.0,0,0,0.0,14,93.3,6,40.0,1,6.7,0,0.0,1,6.7
Coby White,CHI,39,39,1261,459,79,163,48.5,42,48,87.5,205,44.7,222,48.4,42,9.2,30,6.5,25,5.4
Dalen Terry,CHI,40,40,501,109,17,37,45.9,11,16,68.8,45,41.3,58,53.2,8,7.3,6,5.5,8,7.3
E.J. Liddell,CHI,6,6,36,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Emanuel Miller,CHI,2,2,6,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jahmir Young,CHI,2,2,12,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Jalen Smith,CHI,36,36,552,40,13,23,56.5,7,8,87.5,35,87.5,8,20.0,1,2.5,4,10.0,4,10.0
Jevon Carter,CHI,23,23,239,42,5,20,25.0,0,0,0.0,10,23.8,21,50.0,7,16.7,0,0.0,0,0.0
Josh Giddey,CHI,37,37,1076,386,62,141,44.0,31,37,83.8,157,40.7,193,50.0,47,12.2,20,5.2,19,4.9
Julian Phillips,CHI,42,42,583,54,8,17,47.1,6,10,60.0,24,44.4,29,53.7,3,5.6,1,1.9,5,9.3
Kevin Huerter,CHI,30,30,665,69,17,32,53.1,3,6,50.0,37,53.6,26,37.7,5,7.2,7,10.1,3,4.3
Lonzo Ball,CHI,19,19,421,43,4,12,33.3,2,2,100.0,10,23.3,26,60.5,4,9.3,3,7.0,1,2.3
Matas Buzelis,CHI,41,41,762,115,25,63,39.7,27,32,84.4,78,67.8,27,23.5,7,6.1,8,7.0,16,13.9
Nikola Vučević,CHI,39,39,1215,140,32,71,45.1,10,10,100.0,77,55.0,49,35.0,5,3.6,10,7.1,5,3.6
Patrick Williams,CHI,32,32,784,142,27,64,42.2,15,20,75.0,71,50.0,51,35.9,11,7.7,9,6.3,10,7.0
Talen Horton-Tucker,CHI,32,32,382,145,37,72,51.4,14,21,66.7,93,64.1,58,40.0,13,9.0,4,2.8,11,7.6
Tre Jones,CHI,25,25,448,153,25,60,41.7,11,14,78.6,65,42.5,77,50.3,20,13.1,4,2.6,7,4.6
Zach Collins,CHI,30,30,459,25,7,13,53.8,2,2,100.0,16,64.0,9,36.0,1,4.0,2,8.0,1,4.0
Chuma Okeke,CLE,7,7,177,6,2,2,100.0,0,0,0.0,4,66.7,4,66.7,2,33.3,0,0.0,0,0.0
Craig Porter Jr.,CLE,11,11,150,47,9,22,40.9,1,2,50.0,19,40.4,21,44.7,6,12.8,3,6.4,1,2.1
Darius Garland,CLE,15,15,486,245,53,101,52.5,23,26,88.5,132,53.9,111,45.3,27,11.0,12,4.9,13,5.3
De'Andre Hunter,CLE,26,26,735,154,40,80,50.0,26,28,92.9,107,69.5,40,26.0,6,3.9,10,6.5,14,9.1
Dean Wade,CLE,12,12,253,18,0,1,0.0,3,4,75.0,3,16.7,14,77.8,5,27.8,1,5.6,2,11.1
Donovan Mitchell,CLE,16,16,536,241,60,130,46.2,29,34,85.3,152,63.1,70,29.0,21,8.7,15,6.2,17,7.1
Emoni Bates,CLE,1,1,42,6,2,3,66.7,0,0,0.0,4,66.7,3,50.0,0,0.0,0,0.0,0,0.0
Evan Mobley,CLE,13,13,388,81,19,48,39.6,9,16,56.3,49,60.5,20,24.7,5,6.2,2,2.5,8,9.9
Isaac Okoro,CLE,11,11,205,18,2,8,25.0,2,2,100.0,7,38.9,6,33.3,2,11.1,3,16.7,1,5.6
Jarrett Allen,CLE,18,18,467,6,1,2,50.0,0,0,0.0,2,33.3,3,50.0,1,16.7,1,16.7,0,0.0
Javonte Green,CLE,44,44,883,55,10,31,32.3,7,14,50.0,27,49.1,10,18.2,4,7.3,4,7.3,7,12.7
Jaylon Tyson,CLE,10,10,112,25,4,12,33.3,0,0,0.0,8,32.0,9,36.0,1,4.0,3,12.0,0,0.0
Luke Travers,CLE,2,2,29,4,0,2,0.0,0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Max Strus,CLE,11,11,292,31,7,12,58.3,0,0,0.0,14,45.2,16,51.6,5,16.1,1,3.2,0,0.0
Nae'Qwan Tomlin,CLE,1,1,47,8,2,6,33.3,2,4,50.0,6,75.0,0,0.0,0,0.0,0,0.0,2,25.0
Sam Merrill,CLE,17,17,311,13,2,4,50.0,2,2,100.0,6,46.2,7,53.8,3,23.1,0,0.0,1,7.7
Tristan Thompson,CLE,9,9,117,9,2,6,33.3,1,4,25.0,5,55.6,1,11.1,0,0.0,0,0.0,2,22.2
Ty Jerome,CLE,15,15,337,126,32,52,61.5,21,27,77.8,87,69.0,52,41.3,16,12.7,5,4.0,14,11.1
Anthony Davis,DAL,21,21,711,92,38,67,56.7,14,22,63.6,94,102.2,7,7.6,1,1.1,6,6.5,11,12.0
Brandon Williams,DAL,18,18,306,111,29,47,61.7,17,22,77.3,77,69.4,48,43.2,11,9.9,4,3.6,11,9.9
Caleb Martin,DAL,28,28,774,177,28,62,45.2,16,30,53.3,74,41.8,84,47.5,24,13.6,11,6.2,15,8.5
Daniel Gafford,DAL,29,29,614,22,11,17,64.7,6,8,75.0,28,127.3,1,4.5,0,0.0,0,0.0,4,18.2
Danté Exum,DAL,13,13,224,89,17,38,44.7,8,12,66.7,42,47.2,35,39.3,6,6.7,5,5.6,6,6.7
Dereck Lively II,DAL,15,15,340,3,1,2,50.0,2,2,100.0,4,133.3,0,0.0,0,0.0,0,0.0,1,33.3
Dwight Powell,DAL,30,30,328,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Jaden Hardy,DAL,27,27,503,162,38,68,55.9,18,28,64.3,94,58.0,56,34.6,16,9.9,21,13.0,15,9.3
Jazian Gortman,DAL,8,8,33,11,1,4,25.0,0,0,0.0,2,18.2,5,45.5,0,0.0,1,9.1,0,0.0
Kai Jones,DAL,20,20,296,11,5,5,100.0,4,4,100.0,16,145.5,4,36.4,3,27.3,0,0.0,2,18.2
Kessler Edwards,DAL,23,23,389,33,5,14,35.7,2,2,100.0,12,36.4,17,51.5,1,3.0,1,3.0,1,3.0
Klay Thompson,DAL,39,39,1108,158,21,61,34.4,5,6,83.3,48,30.4,72,45.6,17,10.8,20,12.7,3,1.9
Kyrie Irving,DAL,22,22,819,290,94,169,55.6,41,44,93.2,235,81.0,73,25.2,12,4.1,18,6.2,22,7.6
Max Christie,DAL,38,38,1064,150,31,70,44.3,17,20,85.0,81,54.0,59,39.3,10,6.7,6,4.0,10,6.7
