PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
James Johnson,IND,7,7,26,5,2,2,100.0,0,0,0.0,4,80.0,3,60.0,1,20.0,0,0.0,0,0.0
Jarace Walker,IND,30,30,530,96,20,45,44.4,17,20,85.0,61,63.5,27,28.1,6,6.3,8,8.3,10,10.4
Johnny Furphy,IND,19,19,208,12,3,5,60.0,1,2,50.0,7,58.3,4,33.3,0,0.0,2,16.7,1,8.3
Myles Turner,IND,28,28,845,44,5,24,20.8,11,16,68.8,22,50.0,7,15.9,2,4.5,4,9.1,8,18.2
Obi Toppin,IND,31,31,590,72,20,32,62.5,5,6,83.3,46,63.9,33,45.8,11,15.3,3,4.2,3,4.2
Pascal Siakam,IND,31,31,1011,197,49,95,51.6,20,26,76.9,125,63.5,71,36.0,7,3.6,13,6.6,13,6.6
Quenton Jackson,IND,14,14,198,67,11,23,47.8,8,12,66.7,31,46.3,33,49.3,8,11.9,3,4.5,6,9.0
RayJ Dennis,IND,4,4,28,11,3,6,50.0,2,2,100.0,8,72.7,4,36.4,1,9.1,0,0.0,1,9.1
T.J. McConnell,IND,30,30,538,363,91,159,57.2,16,24,66.7,199,54.8,165,45.5,34,9.4,20,5.5,12,3.3
Thomas Bryant,IND,22,22,294,7,2,5,40.0,0,0,0.0,5,71.4,2,28.6,1,14.3,0,0.0,0,0.0
Tony Bradley,IND,3,3,36,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tyrese Haliburton,IND,27,27,918,277,48,89,53.9,17,18,94.4,118,42.6,165,59.6,33,11.9,13,4.7,9,3.2
Amir Coffey,LAC,31,31,779,72,21,48,43.8,9,10,90.0,53,73.6,13,18.1,4,5.6,5,6.9,5,6.9
Ben Simmons,LAC,25,25,589,134,24,52,46.2,3,4,75.0,53,39.6,63,47.0,13,9.7,11,8.2,2,1.5
Bogdan Bogdanović,LAC,21,21,537,125,23,52,44.2,10,13,76.9,57,45.6,56,44.8,18,14.4,9,7.2,7,5.6
Cam Christie,LAC,3,3,25,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Derrick Jones Jr.,LAC,29,29,731,66,21,45,46.7,2,2,100.0,48,72.7,16,24.2,2,3.0,3,4.5,1,1.5
Drew Eubanks,LAC,36,36,501,20,4,9,44.4,2,4,50.0,10,50.0,7,35.0,1,5.0,0,0.0,2,10.0
Ivica Zubac,LAC,30,30,979,19,4,13,30.8,3,4,75.0,11,57.9,1,5.3,0,0.0,1,5.3,2,10.5
James Harden,LAC,29,29,1004,424,71,167,42.5,74,82,90.2,219,51.7,171,40.3,47,11.1,34,8.0,41,9.7
Jordan Miller,LAC,16,16,216,62,13,27,48.1,14,16,87.5,40,64.5,20,32.3,4,6.5,6,9.7,8,12.9
Kawhi Leonard,LAC,11,11,355,117,22,59,37.3,8,10,80.0,53,45.3,40,34.2,8,6.8,7,6.0,5,4.3
Kobe Brown,LAC,15,15,138,25,3,11,27.3,0,0,0.0,6,24.0,11,44.0,4,16.0,2,8.0,0,0.0
Kris Dunn,LAC,29,29,715,84,20,44,45.5,2,4,50.0,42,50.0,32,38.1,11,13.1,3,3.6,2,2.4
Nicolas Batum,LAC,31,31,496,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Norman Powell,LAC,21,21,685,221,56,114,49.1,36,42,85.7,154,69.7,68,30.8,21,9.5,14,6.3,21,9.5
Patrick Baldwin Jr.,LAC,21,21,98,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Patty Mills,LAC,17,17,235,12,2,5,40.0,0,0,0.0,4,33.3,7,58.3,1,8.3,0,0.0,0,0.0
Trentyn Flowers,LAC,2,2,16,5,2,3,66.7,0,0,0.0,4,80.0,1,20.0,0,0.0,1,20.0,0,0.0
Alex Len,LAL,25,25,228,2,0,1,0.0,2,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0
Armel Traore,LAL,4,4,36,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Austin Reaves,LAL,27,27,941,278,60,115,52.2,50,59,84.7,176,63.3,111,39.9,21,7.6,18,6.5,30,10.8
Bronny James,LAL,10,10,127,25,3,9,33.3,3,4,75.0,9,36.0,11,44.0,1,4.0,3,12.0,2,8.0
Cam Reddish,LAL,18,18,299,19,1,6,16.7,3,4,75.0,6,31.6,9,47.4,2,10.5,1,5.3,2,10.5
Christian Koloko,LAL,14,14,151,2,0,0,0.0,2,2,100.0,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0
Dalton Knecht,LAL,31,31,670,72,17,44,38.6,7,8,87.5,42,58.3,18,25.0,3,4.2,5,6.9,4,5.6
Dorian Finney-Smith,LAL,27,27,756,52,9,16,56.3,5,8,62.5,24,46.2,26,50.0,5,9.6,5,9.6,4,7.7
Gabe Vincent,LAL,26,26,542,66,12,27,44.4,3,4,75.0,27,40.9,31,47.0,7,10.6,5,7.6,2,3.0
Jarred Vanderbilt,LAL,11,11,200,11,1,1,100.0,2,4,50.0,4,36.4,4,36.4,1,9.1,3,27.3,2,18.2
Jaxson Hayes,LAL,18,18,313,5,3,3,100.0,2,2,100.0,8,160.0,1,20.0,0,0.0,0,0.0,1,20.0
Jordan Goodwin,LAL,12,12,252,27,6,15,40.0,0,0,0.0,12,44.4,11,40.7,3,11.1,0,0.0,0,0.0
Kylor Kelley,LAL,8,8,114,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
LeBron James,LAL,26,26,913,279,67,133,50.4,36,48,75.0,172,61.6,93,33.3,24,8.6,19,6.8,24,8.6
Luka Dončić,LAL,19,19,684,328,68,134,50.7,50,62,80.6,194,59.1,129,39.3,29,8.8,20,6.1,31,9.5
Markieff Morris,LAL,8,8,118,13,3,8,37.5,5,6,83.3,11,84.6,2,15.4,2,15.4,0,0.0,3,23.1
Maxi Kleber,LAL,16,16,301,31,8,11,72.7,1,2,50.0,17,54.8,15,48.4,4,12.9,2,6.5,1,3.2
Quincy Olivari,LAL,1,1,2,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0
Rui Hachimura,LAL,22,22,650,58,11,34,32.4,4,8,50.0,27,46.6,15,25.9,4,6.9,4,6.9,4,6.9
Shake Milton,LAL,28,28,453,131,27,61,44.3,13,16,81.3,69,52.7,52,39.7,6,4.6,8,6.1,9,6.9
Trey Jemison III,LAL,21,21,219,11,5,9,55.6,0,0,0.0,10,90.9,2,18.2,1,9.1,0,0.0,0,0.0
Brandon Clarke,MEM,24,24,420,39,5,18,27.8,6,8,75.0,16,41.0,14,35.9,1,2.6,3,7.7,4,10.3
Cam Spencer,MEM,11,11,72,13,1,2,50.0,6,6,100.0,8,61.5,7,53.8,1,7.7,0,0.0,3,23.1
Cole Anthony,MEM,32,32,616,255,47,109,43.1,18,22,81.8,119,46.7,112,43.9,25,9.8,18,7.1,11,4.3
GG Jackson,MEM,10,10,152,44,6,22,27.3,9,14,64.3,21,47.7,12,27.3,3,6.8,2,4.5,7,15.9
Ja Morant,MEM,20,20,639,359,76,179,42.5,51,63,81.0,210,58.5,101,28.1,27,7.5,37,10.3,32,8.9
Jaren Jackson Jr.,MEM,32,32,970,346,114,225,50.7,50,69,72.5,286,82.7,52,15.0,9,2.6,21,6.1,35,10.1
Jay Huff,MEM,27,27,228,39,6,11,54.5,4,8,50.0,16,41.0,18,46.2,2,5.1,4,10.3,4,10.3
Jaylen Wells,MEM,32,32,807,135,25,49,51.0,6,6,100.0,58,43.0,70,51.9,16,11.9,9,6.7,3,2.2
John Konchar,MEM,20,20,234,10,0,1,0.0,0,0,0.0,0,0.0,8,80.0,0,0.0,1,10.0,0,0.0
Kentavious Caldwell-Pope,MEM,39,39,1162,78,15,32,46.9,4,4,100.0,37,47.4,37,47.4,9,11.5,5,6.4,2,2.6
Lamar Stevens,MEM,10,10,55,9,3,5,60.0,0,0,0.0,6,66.7,0,0.0,0,0.0,4,44.4,0,0.0
Luke Kennard,MEM,28,28,619,147,23,46,50.0,3,3,100.0,47,32.0,87,59.2,18,12.2,11,7.5,2,1.4
Marvin Bagley III,MEM,24,24,183,20,8,16,50.0,0,2,0.0,16,80.0,1,5.0,0,0.0,0,0.0,2,10.0
Santi Aldama,MEM,27,27,724,130,29,58,50.0,15,20,75.0,74,56.9,54,41.5,13,10.0,7,5.4,10,7.7
Scotty Pippen Jr.,MEM,33,33,690,273,38,83,45.8,20,24,83.3,101,37.0,148,54.2,36,13.2,21,7.7,12,4.4
Vince Williams Jr.,MEM,17,17,313,48,10,19,52.6,1,2,50.0,22,45.8,23,47.9,6,12.5,4,8.3,1,2.1
Yuki Kawamura,MEM,5,5,18,4,0,0,0.0,0,0,0.0,0,0.0,4,100.0,1,25.0,0,0.0,0,0.0
Zach Edey,MEM,31,31,677,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Zyon Pullin,MEM,2,2,2,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Alec Burks,MIA,23,23,396,45,8,25,32.0,10,12,83.3,27,60.0,12,26.7,0,0.0,0,0.0,6,13.3
Andrew Wiggins,MIA,33,33,1007,253,57,123,46.3,37,43,86.0,157,62.1,84,33.2,15,5.9,23,9.1,22,8.7
Bam Adebayo,MIA,42,42,1481,198,52,110,47.3,31,40,77.5,138,69.7,43,21.7,8,4.0,14,7.1,20,10.1
Davion Mitchell,MIA,49,49,1314,372,60,121,49.6,13,18,72.2,136,36.6,216,58.1,51,13.7,22,5.9,9,2.4
Dru Smith,MIA,6,6,131,29,5,9,55.6,0,0,0.0,10,34.5,17,58.6,2,6.9,2,6.9,0,0.0
Duncan Robinson,MIA,44,44,1056,169,25,55,45.5,2,2,100.0,52,30.8,99,58.6,23,13.6,10,5.9,1,0.6
Haywood Highsmith,MIA,39,39,932,59,13,21,61.9,3,4,75.0,31,52.5,30,50.8,4,6.8,5,8.5,2,3.4
Jaime Jaquez Jr.,MIA,34,34,761,254,59,116,50.9,28,40,70.0,150,59.1,94,37.0,23,9.1,17,6.7,20,7.9
Josh Christopher,MIA,5,5,50,17,2,7,28.6,0,0,0.0,4,23.5,9,52.9,1,5.9,1,5.9,0,0.0
Josh Richardson,MIA,4,4,74,13,2,5,40.0,0,0,0.0,4,30.8,7,53.8,0,0.0,1,7.7,0,0.0
Kel'el Ware,MIA,36,36,826,12,4,6,66.7,2,2,100.0,10,83.3,2,16.7,2,16.7,3,25.0,1,8.3
Keshad Johnson,MIA,6,6,73,3,2,2,100.0,0,2,0.0,4,133.3,0,0.0,0,0.0,0,0.0,1,33.3
Kevin Love,MIA,10,10,101,4,0,1,0.0,2,2,100.0,2,50.0,2,50.0,0,0.0,0,0.0,1,25.0
Kyle Anderson,MIA,31,31,514,98,26,59,44.1,11,14,78.6,64,65.3,25,25.5,9,9.2,3,3.1,7,7.1
Nikola Jović,MIA,25,25,588,106,20,45,44.4,9,10,90.0,50,47.2,44,41.5,13,12.3,10,9.4,5,4.7
Pelle Larsson,MIA,31,31,437,61,7,17,41.2,8,16,50.0,24,39.3,34,55.7,7,11.5,2,3.3,8,13.1
Terry Rozier,MIA,37,37,947,220,52,106,49.1,21,22,95.5,128,58.2,89,40.5,21,9.5,9,4.1,11,5.0
Tyler Herro,MIA,40,40,1455,587,134,258,51.9,49,54,90.7,321,54.7,259,44.1,76,12.9,37,6.3,27,4.6
AJ Green,MIL,29,29,629,10,2,4,50.0,0,0,0.0,4,40.0,5,50.0,0,0.0,0,0.0,0,0.0
Andre Jackson Jr.,MIL,28,28,404,32,6,14,42.9,1,2,50.0,13,40.6,14,43.8,6,18.8,2,6.3,1,3.1
Bobby Portis,MIL,19,19,487,33,13,22,59.1,1,2,50.0,27,81.8,8,24.2,2,6.1,1,3.0,1,3.0
Brook Lopez,MIL,33,33,1034,47,16,26,61.5,8,10,80.0,42,89.4,8,17.0,1,2.1,5,10.6,5,10.6
Chris Livingston,MIL,6,6,41,4,0,2,0.0,0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0
Damian Lillard,MIL,26,26,946,319,70,138,50.7,49,54,90.7,198,62.1,116,36.4,33,10.3,23,7.2,27,8.5
Gary Trent Jr.,MIL,30,30,771,71,16,40,40.0,12,14,85.7,44,62.0,22,31.0,3,4.2,1,1.4,7,9.9
Giannis Antetokounmpo,MIL,27,27,948,345,92,176,52.3,49,92,53.3,241,69.9,98,28.4,21,6.1,15,4.3,46,13.3
Jamaree Bouyea,MIL,1,1,3,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0
Jericho Sims,MIL,19,19,221,4,1,2,50.0,0,0,0.0,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0
Kevin Porter Jr.,MIL,32,32,617,264,55,108,50.9,12,22,54.5,123,46.6,124,47.0,35,13.3,14,5.3,11,4.2
Kyle Kuzma,MIL,40,40,1160,312,75,169,44.4,43,60,71.7,193,61.9,79,25.3,11,3.5,26,8.3,30,9.6
Liam Robbins,MIL,5,5,30,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pat Connaughton,MIL,22,22,299,68,11,23,47.8,6,6,100.0,28,41.2,35,51.5,15,22.1,4,5.9,3,4.4
Pete Nance,MIL,5,5,60,5,1,2,50.0,1,2,50.0,3,60.0,2,40.0,0,0.0,0,0.0,1,20.0
Ryan Rollins,MIL,26,26,331,77,19,36,52.8,6,8,75.0,45,58.4,30,39.0,8,10.4,6,7.8,4,5.2
Stanley Umude,MIL,7,7,32,5,0,2,0.0,2,4,50.0,2,40.0,1,20.0,0,0.0,0,0.0,2,40.0
Taurean Prince,MIL,34,34,931,125,25,55,45.5,2,4,50.0,52,41.6,57,45.6,20,16.0,7,5.6,2,1.6
Tyler Smith,MIL,11,11,58,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Anthony Edwards,MIN,31,31,1171,456,88,206,42.7,98,121,81.0,283,62.1,140,30.7,28,6.1,38,8.3,62,13.6
Bones Hyland,MIN,13,13,161,38,5,14,35.7,8,8,100.0,19,50.0,11,28.9,3,7.9,7,18.4,4,10.5
Donte DiVincenzo,MIN,25,25,664,130,24,44,54.5,9,14,64.3,57,43.8,62,47.7,18,13.8,15,11.5,7,5.4
Jaden McDaniels,MIN,33,33,1082,167,45,102,44.1,10,12,83.3,103,61.7,50,29.9,14,8.4,6,3.6,6,3.6
Jaylen Clark,MIN,12,12,180,11,3,7,42.9,2,2,100.0,8,72.7,3,27.3,0,0.0,0,0.0,1,9.1
Joe Ingles,MIN,7,7,68,11,1,2,50.0,0,0,0.0,2,18.2,9,81.8,1,9.1,0,0.0,0,0.0
Josh Minott,MIN,14,14,79,10,4,7,57.1,2,2,100.0,10,100.0,1,10.0,0,0.0,1,10.0,1,10.0
Julius Randle,MIN,25,25,844,301,44,108,40.7,41,56,73.2,132,43.9,130,43.2,24,8.0,29,9.6,28,9.3
Leonard Miller,MIN,2,2,6,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Luka Garza,MIN,11,11,81,4,3,4,75.0,0,0,0.0,6,150.0,0,0.0,0,0.0,0,0.0,0,0.0
Mike Conley,MIN,27,27,659,131,13,35,37.1,8,8,100.0,35,26.7,75,57.3,20,15.3,11,8.4,4,3.1
Naz Reid,MIN,33,33,943,163,48,102,47.1,18,22,81.8,116,71.2,32,19.6,13,8.0,14,8.6,11,6.7
Nickeil Alexander-Walker,MIN,33,33,863,133,28,53,52.8,13,16,81.3,73,54.9,58,43.6,14,10.5,9,6.8,8,6.0
PJ Dozier,MIN,2,2,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rob Dillingham,MIN,19,19,239,86,19,36,52.8,1,2,50.0,39,45.3,38,44.2,4,4.7,10,11.6,1,1.2
Rudy Gobert,MIN,29,29,931,19,3,10,30.0,2,4,50.0,8,42.1,5,26.3,2,10.5,1,5.3,2,10.5
Terrence Shannon Jr.,MIN,11,11,148,32,10,21,47.6,4,4,100.0,24,75.0,9,28.1,5,15.6,0,0.0,2,6.3
Tristen Newton,MIN,6,6,13,4,1,3,33.3,0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0
Antonio Reeves,NOP,38,38,590,98,22,51,43.1,11,14,78.6,58,59.2,32,32.7,10,10.2,5,5.1,7,7.1
Brandon Boston,NOP,34,34,824,199,38,100,38.0,21,26,80.8,98,49.2,65,32.7,12,6.0,16,8.0,13,6.5
Bruce Brown,NOP,26,26,575,135,21,73,28.8,9,10,90.0,51,37.8,45,33.3,7,5.2,10,7.4,5,3.7
CJ McCollum,NOP,39,39,1255,448,119,251,47.4,37,50,74.0,279,62.3,141,31.5,32,7.1,19,4.2,25,5.6
Daniel Theis,NOP,28,28,413,8,4,5,80.0,0,0,0.0,8,100.0,2,25.0,2,25.0,1,12.5,0,0.0
Dejounte Murray,NOP,22,22,715,314,69,145,47.6,26,34,76.5,166,52.9,108,34.4,25,8.0,34,10.8,17,5.4
Elfrid Payton,NOP,21,21,452,176,26,75,34.7,2,4,50.0,54,30.7,83,47.2,25,14.2,12,6.8,2,1.1
Herbert Jones,NOP,15,15,484,86,21,42,50.0,18,22,81.8,61,70.9,27,31.4,6,7.0,5,5.8,11,12.8
Jamal Cain,NOP,31,31,456,55,20,32,62.5,6,10,60.0,50,90.9,14,25.5,3,5.5,3,5.5,5,9.1
Jeremiah Robinson-Earl,NOP,49,49,999,82,12,38,31.6,3,4,75.0,27,32.9,36,43.9,10,12.2,6,7.3,2,2.4
Jordan Hawkins,NOP,38,38,893,128,21,75,28.0,11,14,78.6,53,41.4,35,27.3,10,7.8,7,5.5,9,7.0
Jose Alvarado,NOP,37,37,944,310,49,119,41.2,19,24,79.2,122,39.4,153,49.4,54,17.4,20,6.5,12,3.9
Karlo Matković,NOP,30,30,563,20,10,16,62.5,0,0,0.0,22,110.0,3,15.0,0,0.0,1,5.0,0,0.0
Keion Brooks Jr.,NOP,12,12,277,39,8,17,47.1,9,12,75.0,26,66.7,13,33.3,0,0.0,2,5.1,6,15.4
Kelly Olynyk,NOP,32,32,642,98,15,40,37.5,15,20,75.0,45,45.9,38,38.8,8,8.2,7,7.1,10,10.2
Lester Quinones,NOP,10,10,157,60,10,21,47.6,5,5,100.0,25,41.7,31,51.7,11,18.3,5,8.3,3,5.0
Matt Ryan,NOP,5,5,15,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0
Mo Bamba,NOP,13,13,161,3,1,1,100.0,0,0,0.0,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0
Trey Murphy III,NOP,39,39,1344,361,91,178,51.1,73,80,91.3,266,73.7,117,32.4,27,7.5,16,4.4,40,11.1
Yves Missi,NOP,54,54,1468,102,26,55,47.3,13,20,65.0,66,64.7,23,22.5,4,3.9,9,8.8,10,9.8
Zion Williamson,NOP,20,20,564,365,91,187,48.7,66,92,71.7,253,69.3,92,25.2,20,5.5,31,8.5,46,12.6
Anton Watson,NYK,4,4,7,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ariel Hukporti,NYK,8,8,77,2,1,1,100.0,0,0,0.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0
Cameron Payne,NYK,26,26,380,97,32,69,46.4,8,8,100.0,72,74.2,19,19.6,5,5.2,4,4.1,4,4.1
Delon Wright,NYK,18,18,259,48,4,16,25.0,3,6,50.0,11,22.9,23,47.9,10,20.8,5,10.4,3,6.3
Jalen Brunson,NYK,25,25,910,510,124,228,54.4,62,72,86.1,320,62.7,209,41.0,46,9.0,23,4.5,36,7.1
Josh Hart,NYK,29,29,1108,116,25,50,50.0,11,14,78.6,64,55.2,47,40.5,9,7.8,8,6.9,7,6.0
Karl-Anthony Towns,NYK,26,26,921,215,63,138,45.7,50,62,80.6,185,86.0,23,10.7,8,3.7,16,7.4,31,14.4
Landry Shamet,NYK,20,20,292,20,3,9,33.3,0,0,0.0,7,35.0,8,40.0,1,5.0,2,10.0,0,0.0
MarJon Beauchamp,NYK,16,16,97,22,2,7,28.6,5,6,83.3,9,40.9,9,40.9,2,9.1,3,13.6,3,13.6
Mikal Bridges,NYK,31,31,1141,211,48,91,52.7,9,10,90.0,107,50.7,87,41.2,17,8.1,20,9.5,5,2.4
Miles McBride,NYK,25,25,646,90,14,39,35.9,2,2,100.0,30,33.3,42,46.7,10,11.1,6,6.7,1,1.1
Mitchell Robinson,NYK,7,7,123,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
OG Anunoby,NYK,29,29,1064,181,34,82,41.5,22,30,73.3,95,52.5,68,37.6,9,5.0,11,6.1,15,8.3
P.J. Tucker,NYK,2,2,29,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pacôme Dadiet,NYK,4,4,30,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0
Precious Achiuwa,NYK,21,21,425,40,12,28,42.9,1,4,25.0,25,62.5,10,25.0,2,5.0,0,0.0,2,5.0
Tyler Kolek,NYK,14,14,81,25,0,6,0.0,1,4,25.0,1,4.0,14,56.0,4,16.0,3,12.0,2,8.0
Aaron Wiggins,OKC,14,14,305,55,9,26,34.6,3,4,75.0,22,40.0,22,40.0,4,7.3,4,7.3,2,3.6
Adam Flagler,OKC,3,3,15,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Ajay Mitchell,OKC,5,5,69,17,5,11,45.5,0,0,0.0,10,58.8,6,35.3,1,5.9,0,0.0,0,0.0
Alex Caruso,OKC,10,10,192,28,3,8,37.5,0,0,0.0,7,25.0,17,60.7,3,10.7,1,3.6,0,0.0
Alex Ducas,OKC,1,1,4,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Branden Carlson,OKC,3,3,13,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cason Wallace,OKC,13,13,384,68,14,32,43.8,1,2,50.0,29,42.6,31,45.6,10,14.7,3,4.4,1,1.5
Chet Holmgren,OKC,6,6,156,19,2,5,40.0,4,4,100.0,8,42.1,9,47.4,3,15.8,3,15.8,2,10.5
Dillon Jones,OKC,9,9,88,6,0,0,0.0,0,0,0.0,0,0.0,6,100.0,4,66.7,0,0.0,0,0.0
Isaiah Hartenstein,OKC,8,8,213,13,4,9,44.4,0,0,0.0,8,61.5,3,23.1,1,7.7,1,7.7,0,0.0
Isaiah Joe,OKC,11,11,239,24,3,7,42.9,1,2,50.0,7,29.2,15,62.5,6,25.0,0,0.0,1,4.2
Jalen Williams,OKC,14,14,473,208,56,111,50.5,24,32,75.0,139,66.8,59,28.4,16,7.7,10,4.8,17,8.2
Jaylin Williams,OKC,7,7,119,8,1,2,50.0,0,0,0.0,2,25.0,5,62.5,0,0.0,0,0.0,0,0.0
Kenrich Williams,OKC,11,11,169,16,4,8,50.0,0,0,0.0,8,50.0,6,37.5,1,6.3,1,6.3,0,0.0
Luguentz Dort,OKC,14,14,427,44,6,15,40.0,2,2,100.0,14,31.8,23,52.3,8,18.2,4,9.1,1,2.3
Ousmane Dieng,OKC,7,7,41,2,0,0,0.0,0,0,0.0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0
Shai Gilgeous-Alexander,OKC,13,13,479,311,78,151,51.7,55,62,88.7,219,70.4,99,31.8,24,7.7,19,6.1,31,10.0
Anthony Black,ORL,39,39,938,303,50,131,38.2,43,52,82.7,147,48.5,120,39.6,20,6.6,17,5.6,26,8.6
Caleb Houstan,ORL,29,29,394,22,3,5,60.0,5,6,83.3,11,50.0,11,50.0,0,0.0,2,9.1,3,13.6
Cory Joseph,ORL,24,24,273,30,6,9,66.7,4,6,66.7,16,53.3,15,50.0,1,3.3,2,6.7,3,10.0
Desmond Bane,ORL,31,31,1001,302,69,133,51.9,29,30,96.7,170,56.3,130,43.0,25,8.3,22,7.3,15,5.0
Franz Wagner,ORL,27,27,935,383,102,213,47.9,67,78,85.9,276,72.1,97,25.3,22,5.7,26,6.8,39,10.2
Gary Harris,ORL,20,20,279,18,3,8,37.5,0,0,0.0,6,33.3,8,44.4,1,5.6,2,11.1,0,0.0
Goga Bitadze,ORL,32,32,671,16,2,5,40.0,4,8,50.0,9,56.3,4,25.0,0,0.0,1,6.3,4,25.0
Jalen Suggs,ORL,15,15,479,152,33,66,50.0,15,16,93.8,83,54.6,62,40.8,12,7.9,8,5.3,8,5.3
Jett Howard,ORL,31,31,402,47,9,18,50.0,6,6,100.0,24,51.1,24,51.1,5,10.6,2,4.3,3,6.4
Jonathan Isaac,ORL,36,36,513,9,2,3,66.7,0,0,0.0,4,44.4,5,55.6,1,11.1,0,0.0,0,0.0
Mac McClung,ORL,1,1,5,5,0,0,0.0,0,0,0.0,0,0.0,4,80.0,1,20.0,0,0.0,0,0.0
Moritz Wagner,ORL,12,12,239,30,7,16,43.8,14,16,87.5,28,93.3,4,13.3,2,6.7,0,0.0,8,26.7
Paolo Banchero,ORL,25,25,863,293,70,139,50.4,73,92,79.3,223,76.1,76,25.9,12,4.1,20,6.8,46,15.7
Trevelin Queen,ORL,16,16,254,57,9,22,40.9,4,6,66.7,22,38.6,25,43.9,3,5.3,7,12.3,3,5.3
Tristan da Silva,ORL,39,39,903,129,20,56,35.7,16,16,100.0,58,45.0,50,38.8,14,10.9,9,7.0,8,6.2
Wendell Carter Jr.,ORL,37,37,963,44,8,20,40.0,6,8,75.0,25,56.8,12,27.3,2,4.5,7,15.9,4,9.1
Adem Bona,PHI,46,46,707,30,14,19,73.7,4,6,66.7,32,106.7,6,20.0,1,3.3,1,3.3,3,10.0
Alex Reese,PHI,11,11,171,6,2,3,66.7,2,2,100.0,6,100.0,2,33.3,0,0.0,0,0.0,1,16.7
Andre Drummond,PHI,28,28,551,31,9,22,40.9,1,2,50.0,19,61.3,3,9.7,1,3.2,2,6.5,2,6.5
Eric Gordon,PHI,27,27,491,79,14,35,40.0,9,14,64.3,38,48.1,25,31.6,9,11.4,7,8.9,8,10.1
Guerschon Yabusele,PHI,47,47,1294,90,33,45,73.3,11,16,68.8,79,87.8,29,32.2,10,11.1,7,7.8,8,8.9
Jalen Hood-Schifino,PHI,12,12,277,79,11,28,39.3,8,10,80.0,31,39.2,41,51.9,8,10.1,4,5.1,5,6.3
Jared Butler,PHI,54,54,928,445,89,192,46.4,26,34,76.5,215,48.3,192,43.1,54,12.1,27,6.1,17,3.8
Jared McCain,PHI,16,16,405,146,38,76,50.0,25,28,89.3,104,71.2,35,24.0,6,4.1,15,10.3,15,10.3
Jeff Dowtin Jr.,PHI,31,31,482,155,46,87,52.9,12,18,66.7,108,69.7,56,36.1,14,9.0,2,1.3,9,5.8
Joel Embiid,PHI,11,11,330,62,14,26,53.8,24,28,85.7,54,87.1,13,21.0,2,3.2,6,9.7,14,22.6
Justin Edwards,PHI,33,33,904,142,41,72,56.9,9,14,64.3,92,64.8,48,33.8,11,7.7,10,7.0,7,4.9
Kelly Oubre Jr.,PHI,39,39,1338,266,76,165,46.1,40,56,71.4,200,75.2,51,19.2,14,5.3,15,5.6,28,10.5
