PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Dean Wade,CLE,47,47,1000,55,9,14,64.3,1,4,25,20,36.4,34,61.8,12,21.8,3,5.5,2,3.6
Donovan Mitchell,CLE,55,55,1696,615,163,292,55.8,80,96,83.3,416,67.6,235,38.2,62,10.1,19,3.1,49,8
Emoni Bates,CLE,9,9,33,4,0,0,0,0,0,0,0,0,4,100,2,50,0,0,0,0
Evan Mobley,CLE,58,58,1778,388,93,174,53.4,50,70,71.4,243,62.6,118,30.4,27,7,43,11.1,36,9.3
Isaac Okoro,CLE,44,44,848,74,11,22,50,4,6,66.7,26,35.1,42,56.8,10,13.5,4,5.4,3,4.1
Jarrett Allen,CLE,64,64,1829,53,22,30,73.3,4,8,50,49,92.5,13,24.5,2,3.8,5,9.4,4,7.5
Javonte Green,CLE,24,24,375,8,1,4,25,2,2,100,4,50,3,37.5,0,0,0,0,1,12.5
Jaylon Tyson,CLE,37,37,341,69,12,24,50,3,4,75,27,39.1,34,49.3,7,10.1,8,11.6,2,2.9
Luke Travers,CLE,10,10,59,6,0,2,0,2,2,100,2,33.3,2,33.3,2,33.3,0,0,1,16.7
Max Strus,CLE,39,39,981,93,9,15,60,3,4,75,22,23.7,68,73.1,25,26.9,7,7.5,2,2.2
Nae'Qwan Tomlin,CLE,4,4,17,3,2,3,66.7,0,0,0,4,133.3,0,0,0,0,0,0,0,0
Sam Merrill,CLE,54,54,1090,54,1,6,16.7,2,2,100,4,7.4,43,79.6,12,22.2,2,3.7,1,1.9
Tristan Thompson,CLE,31,31,211,15,3,13,23.1,0,0,0,6,40,0,0,0,0,2,13.3,0,0
Ty Jerome,CLE,55,55,1055,462,115,209,55,45,50,90,289,62.6,197,42.6,54,11.7,25,5.4,25,5.4
Anthony Davis,DAL,30,30,994,162,46,97,47.4,54,62,87.1,152,93.8,19,11.7,5,3.1,12,7.4,31,19.1
Brandon Williams,DAL,15,15,181,77,15,32,46.9,12,14,85.7,43,55.8,31,40.3,11,14.3,5,6.5,7,9.1
Caleb Martin,DAL,17,17,444,75,11,27,40.7,10,18,55.6,32,42.7,33,44,6,8,5,6.7,9,12
Daniel Gafford,DAL,28,28,612,27,11,16,68.8,4,6,66.7,27,100,3,11.1,1,3.7,2,7.4,3,11.1
Danté Exum,DAL,7,7,149,40,7,16,43.8,3,4,75,18,45,20,50,3,7.5,0,0,2,5
Dereck Lively II,DAL,21,21,493,4,2,3,66.7,0,0,0,5,125,1,25,0,0,0,0,0,0
Dwight Powell,DAL,25,25,222,6,1,1,100,1,4,25,3,50,3,50,1,16.7,0,0,2,33.3
Jaden Hardy,DAL,30,30,405,137,32,72,44.4,12,14,85.7,78,56.9,44,32.1,6,4.4,11,8,7,5.1
Jazian Gortman,DAL,8,8,23,4,0,2,0,0,0,0,0,0,2,50,0,0,0,0,0,0
Kai Jones,DAL,20,20,173,4,1,3,33.3,0,0,0,2,50,1,25,0,0,0,0,0,0
Kessler Edwards,DAL,17,17,220,17,2,7,28.6,0,0,0,4,23.5,9,52.9,4,23.5,0,0,0,0
Klay Thompson,DAL,33,33,857,120,21,45,46.7,8,10,80,50,41.7,61,50.8,17,14.2,5,4.2,5,4.2
Kyrie Irving,DAL,28,28,984,297,73,156,46.8,37,38,97.4,192,64.6,98,33,28,9.4,18,6.1,19,6.4
Max Christie,DAL,40,40,1063,160,26,63,41.3,32,36,88.9,86,53.8,62,38.8,16,10,14,8.8,18,11.3
Moses Brown,DAL,5,5,69,3,1,2,50,1,2,50,3,100,0,0,0,0,0,0,1,33.3
Naji Marshall,DAL,32,32,825,223,67,120,55.8,21,22,95.5,158,70.9,71,31.8,21,9.4,14,6.3,11,4.9
Olivier-Maxence Prosper,DAL,27,27,267,50,11,24,45.8,10,14,71.4,33,66,18,36,2,4,1,2,7,14
P.J. Washington,DAL,31,31,980,190,39,96,40.6,26,30,86.7,105,55.3,48,25.3,16,8.4,23,12.1,16,8.4
Spencer Dinwiddie,DAL,37,37,962,272,65,115,56.5,40,52,76.9,176,64.7,113,41.5,28,10.3,11,4,26,9.6
Aaron Gordon,DEN,33,33,904,91,20,46,43.5,27,30,90,71,78,24,26.4,5,5.5,4,4.4,15,16.5
Christian Braun,DEN,48,48,1615,142,35,61,57.4,20,22,90.9,92,64.8,60,42.3,20,14.1,6,4.2,11,7.7
Dario Šarić,DEN,7,7,71,4,1,1,100,2,2,100,4,100,1,25,0,0,0,0,1,25
DeAndre Jordan,DEN,37,37,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter Tyson,DEN,30,30,268,7,0,3,0,4,4,100,4,57.1,2,28.6,0,0,0,0,2,28.6
Jalen Pickett,DEN,31,31,398,52,11,24,45.8,0,0,0,23,44.2,25,48.1,8,15.4,3,5.8,0,0
Jamal Murray,DEN,41,41,1460,461,117,225,52,40,46,87,284,61.6,183,39.7,56,12.1,16,3.5,23,5
Julian Strawther,DEN,41,41,951,148,42,82,51.2,18,20,90,102,68.9,49,33.1,5,3.4,2,1.4,10,6.8
Michael Porter Jr.,DEN,47,47,1569,124,34,59,57.6,19,24,79.2,88,71,39,31.5,10,8.1,12,9.7,12,9.7
Nikola Jokić,DEN,46,46,1659,196,52,93,55.9,22,32,68.8,130,66.3,61,31.1,17,8.7,13,6.6,16,8.2
PJ Hall,DEN,12,12,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Watson,DEN,40,40,983,73,18,36,50,10,12,83.3,48,65.8,23,31.5,7,9.6,7,9.6,6,8.2
Russell Westbrook,DEN,43,43,1185,397,66,124,53.2,33,52,63.5,170,42.8,193,48.6,57,14.4,34,8.6,26,6.5
Spencer Jones,DEN,13,13,54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Alexander,DEN,14,14,68,15,6,9,66.7,0,0,0,12,80,6,40,2,13.3,0,0,0,0
Vlatko Čančar,DEN,2,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeke Nnaji,DEN,36,36,416,14,2,4,50,1,2,50,5,35.7,7,50,2,14.3,1,7.1,1,7.1
Ausar Thompson,DET,34,34,763,141,33,63,52.4,16,26,61.5,82,58.2,46,32.6,11,7.8,13,9.2,13,9.2
Bobi Klintman,DET,4,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cade Cunningham,DET,38,38,1309,600,171,328,52.1,85,100,85,437,72.8,173,28.8,62,10.3,34,5.7,50,8.3
Daniss Jenkins,DET,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schröder,DET,37,37,999,355,70,157,44.6,46,54,85.2,194,54.6,141,39.7,34,9.6,14,3.9,27,7.6
Isaiah Stewart,DET,38,38,774,16,3,11,27.3,1,2,50,8,50,2,12.5,1,6.3,2,12.5,1,6.3
Jaden Ivey,DET,14,14,451,144,34,65,52.3,15,24,62.5,84,58.3,49,34,11,7.6,15,10.4,12,8.3
Jalen Duren,DET,43,43,1145,88,29,52,55.8,14,18,77.8,74,84.1,14,15.9,4,4.5,9,10.2,9,10.2
Lindy Waters III,DET,27,27,335,20,4,9,44.4,0,0,0,8,40,10,50,1,5,0,0,0,0
Malik Beasley,DET,44,44,1224,119,35,74,47.3,15,22,68.2,86,72.3,29,24.4,8,6.7,3,2.5,11,9.2
Marcus Sasser,DET,30,30,416,85,18,32,56.3,10,14,71.4,47,55.3,38,44.7,9,10.6,5,5.9,7,8.2
Paul Reed,DET,22,22,190,9,0,5,0,0,0,0,0,0,4,44.4,1,11.1,0,0,0,0
Ronald Holland II,DET,44,44,700,114,32,59,54.2,19,22,86.4,86,75.4,29,25.4,8,7,6,5.3,11,9.6
Simone Fontecchio,DET,38,38,637,69,13,36,36.1,10,12,83.3,37,53.6,18,26.1,4,5.8,8,11.6,6,8.7
Tim Hardaway Jr.,DET,41,41,1166,79,24,43,55.8,15,18,83.3,65,82.3,22,27.8,10,12.7,4,5.1,9,11.4
Tobias Harris,DET,40,40,1298,165,46,94,48.9,16,20,80,111,67.3,50,30.3,16,9.7,9,5.5,10,6.1
Brandin Podziemski,GSW,38,38,1004,207,41,89,46.1,25,30,83.3,108,52.2,89,43,13,6.3,11,5.3,15,7.2
Braxton Key,GSW,3,3,11,3,0,1,0,0,0,0,0,0,1,33.3,0,0,1,33.3,0,0
Buddy Hield,GSW,48,48,1082,124,21,43,48.8,4,4,100,46,37.1,66,53.2,12,9.7,10,8.1,2,1.6
Draymond Green,GSW,42,42,1218,109,13,40,32.5,15,22,68.2,42,38.5,49,45,14,12.8,6,5.5,11,10.1
Gary Payton II,GSW,36,36,545,26,6,11,54.5,2,2,100,14,53.8,13,50,5,19.2,1,3.8,1,3.8
Gui Santos,GSW,36,36,510,42,4,9,44.4,2,2,100,10,23.8,28,66.7,6,14.3,3,7.1,1,2.4
Jackson Rowe,GSW,4,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Butler III,GSW,36,36,1140,453,54,118,45.8,88,105,83.8,203,44.8,246,54.3,58,12.8,17,3.8,54,11.9
Jonathan Kuminga,GSW,28,28,638,189,47,95,49.5,37,56,66.1,132,69.8,52,27.5,8,4.2,11,5.8,28,14.8
Kevin Knox II,GSW,11,11,70,11,6,7,85.7,0,0,0,12,109.1,1,9.1,0,0,2,18.2,0,0
Kevon Looney,GSW,45,45,692,19,3,12,25,1,2,50,7,36.8,5,26.3,2,10.5,1,5.3,1,5.3
Moses Moody,GSW,45,45,1030,130,29,57,50.9,22,30,73.3,81,62.3,45,34.6,10,7.7,9,6.9,15,11.5
Pat Spencer,GSW,24,24,121,41,5,17,29.4,1,2,50,11,26.8,17,41.5,2,4.9,2,4.9,1,2.4
Quinten Post,GSW,26,26,463,24,2,9,22.2,0,0,0,5,20.8,9,37.5,3,12.5,5,20.8,0,0
Stephen Curry,GSW,41,41,1305,338,70,143,49,36,38,94.7,182,53.8,146,43.2,33,9.8,18,5.3,20,5.9
Trayce Jackson-Davis,GSW,33,33,471,20,9,13,69.2,2,4,50,20,100,5,25,1,5,0,0,2,10
Yuri Collins,GSW,2,2,16,3,0,2,0,0,0,0,0,0,1,33.3,1,33.3,0,0,0,0
Aaron Holiday,HOU,39,39,487,85,15,29,51.7,9,10,90,39,45.9,42,49.4,9,10.6,7,8.2,5,5.9
Alperen Sengun,HOU,52,52,1619,391,114,211,54,44,72,61.1,276,70.6,100,25.6,32,8.2,30,7.7,37,9.5
Amen Thompson,HOU,43,43,1364,302,54,112,48.2,26,34,76.5,136,45,143,47.4,34,11.3,22,7.3,18,6
Cam Whitmore,HOU,30,30,414,67,15,35,42.9,13,16,81.3,43,64.2,19,28.4,4,6,5,7.5,8,11.9
David Roddy,HOU,9,9,101,19,2,3,66.7,0,0,0,4,21.1,14,73.7,3,15.8,1,5.3,0,0
Dillon Brooks,HOU,49,49,1578,192,40,106,37.7,21,28,75,104,54.2,61,31.8,19,9.9,9,4.7,14,7.3
Fred VanVleet,HOU,41,41,1445,351,48,99,48.5,20,24,83.3,116,33,217,61.8,48,13.7,15,4.3,12,3.4
Jabari Smith Jr.,HOU,40,40,1195,92,23,48,47.9,10,16,62.5,58,63,26,28.3,9,9.8,7,7.6,9,9.8
Jack McVeigh,HOU,5,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jae'Sean Tate,HOU,38,38,419,54,17,35,48.6,5,6,83.3,39,72.2,15,27.8,1,1.9,1,1.9,3,5.6
Jalen Green,HOU,52,52,1728,527,127,263,48.3,75,92,81.5,340,64.5,160,30.4,32,6.1,41,7.8,46,8.7
Jeff Green,HOU,20,20,216,14,6,10,60,3,4,75,15,107.1,1,7.1,0,0,1,7.1,2,14.3
Jock Landale,HOU,26,26,283,3,0,1,0,0,0,0,0,0,0,0,0,0,1,33.3,0,0
Nate Williams,HOU,14,14,49,12,3,5,60,1,2,50,7,58.3,4,33.3,2,16.7,1,8.3,1,8.3
Reed Sheppard,HOU,30,30,330,41,4,15,26.7,0,0,0,8,19.5,24,58.5,5,12.2,2,4.9,0,0
Steven Adams,HOU,38,38,508,7,0,1,0,0,0,0,0,0,3,42.9,1,14.3,1,14.3,0,0
