PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Isaiah Collier,UTA,14,14,366,124,23,41,56.1,8,12,66.7,55,44.4,60,48.4,16,12.9,11,8.9,6,4.8
Jaden Springer,UTA,22,22,158,32,4,10,40,7,8,87.5,16,50,15,46.9,6,18.8,1,3.1,4,12.5
John Collins,UTA,12,12,373,63,13,30,43.3,9,10,90,37,58.7,14,22.2,3,4.8,7,11.1,5,7.9
Johnny Juzang,UTA,15,15,277,17,7,12,58.3,0,0,0,14,82.4,4,23.5,0,0,1,5.9,0,0
Jordan Clarkson,UTA,10,10,230,105,21,52,40.4,9,14,64.3,55,52.4,37,35.2,15,14.3,7,6.7,8,7.6
KJ Martin,UTA,11,11,260,13,3,3,100,0,0,0,7,53.8,8,61.5,0,0,2,15.4,0,0
Keyonte George,UTA,13,13,384,95,23,51,45.1,15,18,83.3,63,66.3,28,29.5,10,10.5,6,6.3,9,9.5
Kyle Filipowski,UTA,13,13,277,37,11,16,68.8,3,8,37.5,25,67.6,10,27,3,8.1,5,13.5,4,10.8
Lauri Markkanen,UTA,9,9,289,35,7,17,41.2,13,14,92.9,28,80,8,22.9,1,2.9,3,8.6,7,20
Micah Potter,UTA,10,10,164,7,0,1,0,2,2,100,2,28.6,5,71.4,1,14.3,0,0,1,14.3
Oscar Tshiebwe,UTA,3,3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svi Mykhailiuk,UTA,6,6,125,32,9,13,69.2,2,2,100,21,65.6,16,50,7,21.9,1,3.1,1,3.1
Walker Kessler,UTA,14,14,403,2,0,1,0,0,0,0,0,0,1,50,1,50,0,0,0,0
AJ Johnson,WAS,8,8,146,35,8,16,50,0,0,0,16,45.7,17,48.6,6,17.1,1,2.9,0,0
Alex Sarr,WAS,13,13,349,36,10,23,43.5,2,2,100,22,61.1,10,27.8,1,2.8,2,5.6,1,2.8
Anthony Gill,WAS,7,7,46,8,0,3,0,0,0,0,0,0,4,50,0,0,1,12.5,0,0
Bilal Coulibaly,WAS,13,13,425,94,15,42,35.7,8,12,66.7,40,42.6,32,34,7,7.4,10,10.6,6,6.4
