PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,L_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Zaccharie Risacher,ATL,37,37,926,131,25,75,33.3,13,16,81.3,65,49.6,33,25.2,8,6.1,13,9.9,8,6.1,1.4384449244060475,1.4384449244060475,5.092872570194384,0.9719222462203023,2.915766738660907,1.2946004319654427,0.5053995680345572,0.6220302375809935,3.1606911447084234,2.526997840172786,1.92829373650108,1.2829373650107991,0.9796976241900648,0.31101511879049676,0.23714902807775376,0.5053995680345572,0.3848812095032398,0.31101511879049676,0.23714902807775376
Cam Thomas,BKN,17,17,533,262,57,118,48.3,43,51,84.3,163,62.2,89,34.0,31,11.8,17,6.5,26,9.9,1.148217636022514,1.148217636022514,17.696060037523452,3.849906191369606,7.969981238273921,3.2622889305816134,2.904315196998124,3.4446529080675425,5.693808630393996,11.0093808630394,4.201125703564728,6.011257035647279,2.296435272045028,2.0938086303939962,0.7969981238273922,1.148217636022514,0.43902439024390244,1.7560975609756098,0.6686679174484053
Cameron Johnson,BKN,36,36,1135,240,52,99,52.5,24,26,92.3,131,54.6,106,44.2,28,11.7,18,7.5,13,5.4,1.1418502202643173,1.1418502202643173,7.612334801762115,1.649339207048458,3.1400881057268726,1.6651982378854626,0.7612334801762114,0.824669603524229,2.927577092511013,4.155066079295154,1.7318061674008811,3.362114537444934,1.4019383259911895,0.8881057268722468,0.37110132158590303,0.5709251101321586,0.2378854625550661,0.4123348017621145,0.17127753303964757
Cui Cui,BKN,3,3,7,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15.428571428571427,15.428571428571427,5.142857142857142,0.0,5.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,BKN,32,32,787,183,43,89,48.3,28,32,87.5,118,64.5,57,31.1,17,9.3,10,5.5,16,8.7,1.4637865311308769,1.4637865311308769,8.371029224904701,1.9669631512071155,4.071156289707751,2.209402795425667,1.280813214739517,1.4637865311308769,4.002541296060991,5.397712833545109,2.950444726810673,2.607369758576874,1.422617534942821,0.7776365946632783,0.4254129606099111,0.45743329097839897,0.25158831003811943,0.7318932655654384,0.39796696315120705
Dariq Whitehead,BKN,14,14,185,18,3,9,33.3,1,2,50.0,7,38.9,6,33.3,0,0.0,2,11.1,1,5.6,2.7243243243243245,2.7243243243243245,3.502702702702703,0.5837837837837838,1.7513513513513514,6.4799999999999995,0.1945945945945946,0.3891891891891892,9.72972972972973,1.3621621621621622,7.56972972972973,1.1675675675675676,6.4799999999999995,0.0,0.0,0.3891891891891892,2.16,0.1945945945945946,1.0897297297297297
Day'Ron Sharpe,BKN,36,36,686,31,7,17,41.2,8,10,80.0,23,74.2,6,19.4,1,3.2,2,6.5,5,16.1,1.8892128279883382,1.8892128279883382,1.6268221574344022,0.36734693877551017,0.892128279883382,2.1620991253644317,0.4198250728862974,0.5247813411078717,4.198250728862973,1.206997084548105,3.8938775510204082,0.31486880466472306,1.018075801749271,0.052478134110787174,0.16793002915451893,0.10495626822157435,0.34110787172011664,0.26239067055393583,0.8448979591836735
De'Anthony Melton,BKN,2,2,35,6,2,3,66.7,0,0,0.0,4,66.7,2,33.3,0,0.0,0,0.0,0,0.0,2.057142857142857,2.057142857142857,6.171428571428572,2.057142857142857,3.085714285714286,68.60571428571428,0.0,0.0,0.0,4.114285714285714,68.60571428571428,2.057142857142857,34.25142857142857,0.0,0.0,0.0,0.0,0.0,0.0
Drew Timme,BKN,6,6,175,20,0,5,0.0,6,6,100.0,6,30.0,8,40.0,0,0.0,4,20.0,3,15.0,1.2342857142857144,1.2342857142857144,4.114285714285714,0.0,1.0285714285714285,0.0,1.2342857142857144,1.2342857142857144,20.57142857142857,1.2342857142857144,6.171428571428572,1.6457142857142857,8.228571428571428,0.0,0.0,0.8228571428571428,4.114285714285714,0.6171428571428572,3.085714285714286
Jalen Wilson,BKN,54,54,1359,310,36,106,34.0,44,52,84.6,119,38.4,148,47.7,31,10.0,20,6.5,26,8.4,1.4304635761589404,1.4304635761589404,8.211920529801326,0.9536423841059603,2.80794701986755,0.9006622516556292,1.165562913907285,1.3774834437086094,2.2410596026490066,3.1523178807947017,1.0172185430463576,3.9205298013245033,1.2635761589403975,0.8211920529801324,0.26490066225165565,0.5298013245033113,0.17218543046357618,0.6887417218543047,0.22251655629139072
Keon Johnson,BKN,54,54,1346,353,67,153,43.8,26,38,68.4,165,46.7,142,40.2,32,9.1,23,6.5,19,5.4,1.4442793462109957,1.4442793462109957,9.441307578008916,1.7919762258543832,4.092124814264487,1.1714710252600296,0.6953937592867756,1.0163447251114412,1.8294205052005945,4.4130757800891525,1.249034175334324,3.7979197622585437,1.07518573551263,0.8558692421991084,0.24338781575037144,0.6151560178306091,0.1738484398216939,0.5081723625557206,0.14442793462109957
Killian Hayes,BKN,5,5,136,41,4,10,40.0,6,6,100.0,14,34.1,26,63.4,6,14.6,1,2.4,3,7.3,1.3235294117647058,1.3235294117647058,10.852941176470587,1.0588235294117647,2.6470588235294117,10.588235294117647,1.5882352941176472,1.5882352941176472,26.47058823529412,3.705882352941176,9.026470588235295,6.88235294117647,16.78235294117647,1.5882352941176472,3.8647058823529408,0.2647058823529412,0.6352941176470588,0.7941176470588236,1.9323529411764704
Maxwell Lewis,BKN,19,19,233,39,11,24,45.8,1,2,50.0,24,61.5,11,28.2,3,7.7,2,5.1,1,2.6,2.9356223175965663,2.9356223175965663,6.0257510729613735,1.699570815450644,3.708154506437768,7.076394849785407,0.15450643776824036,0.3090128755364807,7.725321888412017,3.708154506437768,9.50214592274678,1.699570815450644,4.357081545064378,0.463519313304721,1.1896995708154505,0.3090128755364807,0.7879828326180257,0.15450643776824036,0.40171673819742487
Nic Claxton,BKN,50,50,1341,137,40,86,46.5,16,30,53.3,98,71.5,25,18.2,3,2.2,6,4.4,15,10.9,1.342281879194631,1.342281879194631,3.6778523489932886,1.0738255033557047,2.3087248322147653,1.248322147651007,0.42953020134228187,0.8053691275167786,1.4308724832214763,2.6308724832214767,1.919463087248322,0.6711409395973155,0.4885906040268456,0.08053691275167785,0.059060402684563765,0.1610738255033557,0.11812080536912753,0.4026845637583893,0.2926174496644296
