PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,W_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Cui Cui,BKN,2,2,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Angelo Russell,BKN,26,26,693,173,42,87,48.3,23,28,82.1,111,64.2,58,33.5,19,11.0,7,4.0,14,8.1,1.3506493506493507,1.3506493506493507,8.987012987012987,2.1818181818181817,4.51948051948052,2.509090909090909,1.194805194805195,1.4545454545454546,4.264935064935065,5.766233766233766,3.3350649350649353,3.012987012987013,1.7402597402597404,0.987012987012987,0.5714285714285714,0.36363636363636365,0.2077922077922078,0.7272727272727273,0.42077922077922075
Dariq Whitehead,BKN,6,6,61,6,1,2,50.0,0,0,0.0,2,33.3,2,33.3,1,16.7,1,16.7,0,0.0,3.540983606557377,3.540983606557377,3.540983606557377,0.5901639344262295,1.180327868852459,29.508196721311478,0.0,0.0,0.0,1.180327868852459,19.652459016393443,1.180327868852459,19.652459016393443,0.5901639344262295,9.855737704918033,0.5901639344262295,9.855737704918033,0.0,0.0
Day'Ron Sharpe,BKN,14,14,222,8,2,3,66.7,1,2,50.0,6,75.0,3,37.5,2,25.0,1,12.5,1,12.5,2.27027027027027,2.27027027027027,1.2972972972972974,0.32432432432432434,0.4864864864864865,10.816216216216217,0.16216216216216217,0.32432432432432434,8.108108108108109,0.972972972972973,12.162162162162161,0.4864864864864865,6.081081081081081,0.32432432432432434,4.054054054054054,0.16216216216216217,2.027027027027027,0.16216216216216217,2.027027027027027
De'Anthony Melton,BKN,4,4,86,23,2,6,33.3,0,0,0.0,4,17.4,14,60.9,5,21.7,1,4.3,0,0.0,1.6744186046511627,1.6744186046511627,9.627906976744185,0.8372093023255813,2.511627906976744,13.93953488372093,0.0,0.0,0.0,1.6744186046511627,7.283720930232557,5.86046511627907,25.493023255813952,2.0930232558139537,9.083720930232557,0.41860465116279066,1.7999999999999998,0.0,0.0
Drew Timme,BKN,3,3,79,10,5,8,62.5,0,0,0.0,11,110.0,2,20.0,1,10.0,0,0.0,0,0.0,1.3670886075949367,1.3670886075949367,4.556962025316456,2.278481012658228,3.6455696202531644,28.481012658227847,0.0,0.0,0.0,5.012658227848101,50.12658227848102,0.9113924050632911,9.113924050632912,0.45569620253164556,4.556962025316456,0.0,0.0,0.0,0.0
Jalen Wilson,BKN,25,25,673,144,21,44,47.7,14,16,87.5,58,40.3,82,56.9,18,12.5,8,5.6,8,5.6,1.337295690936107,1.337295690936107,7.7028231797919755,1.1233283803863299,2.3536404160475484,2.551560178306092,0.7488855869242199,0.8558692421991084,4.680534918276375,3.1025260029717683,2.1557206537890043,4.38632986627043,3.0436849925705793,0.9628528974739969,0.6686478454680534,0.4279346210995542,0.29955423476968795,0.4279346210995542,0.29955423476968795
Keon Johnson,BKN,25,25,579,126,21,64,32.8,17,20,85.0,60,47.6,46,36.5,17,13.5,4,3.2,10,7.9,1.5544041450777202,1.5544041450777202,7.834196891191709,1.305699481865285,3.9792746113989637,2.0393782383419685,1.0569948186528497,1.2435233160621761,5.284974093264249,3.7305699481865284,2.9595854922279794,2.860103626943005,2.2694300518134716,1.0569948186528497,0.8393782383419689,0.24870466321243523,0.1989637305699482,0.6217616580310881,0.49119170984455957
Killian Hayes,BKN,1,1,27,5,1,2,50.0,1,2,50.0,3,60.0,2,40.0,0,0.0,0,0.0,1,20.0,1.3333333333333333,1.3333333333333333,6.666666666666666,1.3333333333333333,2.6666666666666665,66.66666666666667,1.3333333333333333,2.6666666666666665,66.66666666666667,4.0,80.0,2.6666666666666665,53.33333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,26.666666666666664
Maxwell Lewis,BKN,9,9,94,19,4,6,66.7,0,0,0.0,8,42.1,8,42.1,1,5.3,4,21.1,0,0.0,3.4468085106382977,3.4468085106382977,7.276595744680851,1.5319148936170213,2.2978723404255317,25.54468085106383,0.0,0.0,0.0,3.0638297872340425,16.123404255319148,3.0638297872340425,16.123404255319148,0.3829787234042553,2.029787234042553,1.5319148936170213,8.080851063829789,0.0,0.0
Nic Claxton,BKN,20,20,541,51,14,28,50.0,6,8,75.0,34,66.7,15,29.4,4,7.8,2,3.9,4,7.8,1.3308687615526804,1.3308687615526804,3.3937153419593344,0.9316081330868762,1.8632162661737524,3.327171903881701,0.39926062846580407,0.532347504621072,4.990757855822551,2.2624768946395566,4.438447319778189,0.9981515711645101,1.9563770794824398,0.266173752310536,0.5190388170055453,0.133086876155268,0.25951940850277266,0.266173752310536,0.5190388170055453
Noah Clowney,BKN,11,11,244,17,3,7,42.9,5,6,83.3,12,70.6,5,29.4,0,0.0,1,5.9,3,17.6,1.6229508196721312,1.6229508196721312,2.5081967213114753,0.4426229508196721,1.0327868852459017,6.329508196721312,0.7377049180327868,0.8852459016393442,12.290163934426229,1.7704918032786885,10.41639344262295,0.7377049180327868,4.337704918032787,0.0,0.0,0.14754098360655737,0.8704918032786886,0.4426229508196721,2.59672131147541
Reece Beekman,BKN,13,13,111,35,4,10,40.0,0,0,0.0,8,22.9,21,60.0,4,11.4,2,5.7,0,0.0,4.216216216216216,4.216216216216216,11.35135135135135,1.2972972972972974,3.243243243243243,12.972972972972972,0.0,0.0,0.0,2.5945945945945947,7.427027027027026,6.810810810810811,19.45945945945946,1.2972972972972974,3.6972972972972977,0.6486486486486487,1.8486486486486489,0.0,0.0
Tosan Evbuomwan,BKN,8,8,190,47,6,19,31.6,10,12,83.3,22,46.8,21,44.7,7,14.9,0,0.0,6,12.8,1.5157894736842106,1.5157894736842106,8.905263157894737,1.1368421052631579,3.6,5.987368421052632,1.894736842105263,2.2736842105263158,15.783157894736842,4.168421052631579,8.86736842105263,3.9789473684210526,8.469473684210527,1.3263157894736841,2.823157894736842,0.0,0.0,1.1368421052631579,2.4252631578947366
Trendon Watford,BKN,16,16,335,127,31,60,51.7,17,20,85.0,81,63.8,41,32.3,5,3.9,13,10.2,10,7.9,1.7194029850746269,1.7194029850746269,13.647761194029849,3.3313432835820893,6.447761194029851,5.5558208955223884,1.8268656716417908,2.1492537313432836,9.134328358208956,8.704477611940298,6.856119402985074,4.405970149253731,3.4710447761194025,0.5373134328358209,0.41910447761194025,1.3970149253731343,1.0961194029850745,1.0746268656716418,0.8489552238805971
Tyrese Martin,BKN,16,16,315,56,8,19,42.1,4,6,66.7,20,35.7,28,50.0,9,16.1,4,7.1,3,5.4,1.8285714285714285,1.8285714285714285,6.4,0.9142857142857143,2.1714285714285713,4.811428571428571,0.45714285714285713,0.6857142857142857,7.622857142857144,2.2857142857142856,4.08,3.2,5.7142857142857135,1.0285714285714285,1.84,0.45714285714285713,0.8114285714285714,0.34285714285714286,0.6171428571428572
Tyson Etienne,BKN,1,1,26,2,0,0,0.0,2,2,100.0,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0,1.3846153846153846,1.3846153846153846,2.769230769230769,0.0,0.0,0.0,2.769230769230769,2.769230769230769,138.46153846153845,2.769230769230769,138.46153846153845,1.3846153846153846,69.23076923076923,0.0,0.0,0.0,0.0,1.3846153846153846,69.23076923076923
Ziaire Williams,BKN,22,22,564,45,8,20,40.0,5,8,62.5,21,46.7,17,37.8,5,11.1,2,4.4,4,8.9,1.4042553191489362,1.4042553191489362,2.872340425531915,0.5106382978723404,1.2765957446808511,2.5531914893617023,0.3191489361702128,0.5106382978723404,3.9893617021276593,1.3404255319148937,2.9808510638297876,1.0851063829787233,2.4127659574468083,0.3191489361702128,0.7085106382978723,0.1276595744680851,0.28085106382978725,0.2553191489361702,0.5680851063829788
Al Horford,BOS,44,44,1218,50,8,20,40.0,2,2,100.0,19,38.0,25,50.0,5,10.0,3,6.0,1,2.0,1.3004926108374384,1.3004926108374384,1.477832512315271,0.23645320197044334,0.5911330049261084,1.1822660098522169,0.059113300492610835,0.059113300492610835,2.955665024630542,0.5615763546798029,1.1231527093596059,0.7389162561576355,1.477832512315271,0.1477832512315271,0.2955665024630542,0.08866995073891626,0.17733990147783252,0.029556650246305417,0.059113300492610835
